"day","self","other","action","content"
"1","Purple","World","Message","Hello World on day 1 from Purple"
"1","Purple","Red","Message","Private message from Purple to Red"
"1","Purple","Purple","Wait",""
"1","Purple","Purple","Execute targeted attack",""
"1","White","World","Message","Hello World on day 1 from White"
"1","White","Red","Message","Private message from White to Red"
"1","White","White","Wait",""
"1","White","Purple","Execute targeted attack",""
"1","Pink","World","Message","Hello World on day 1 from Pink"
"1","Pink","Red","Message","Private message from Pink to Red"
"1","Pink","Pink","Wait",""
"1","Pink","Purple","Execute targeted attack",""
"1","Red","World","Message","Hello World on day 1 from Red"
"1","Red","Red","Message","Private message from Red to Red"
"1","Red","Red","Wait",""
"1","Red","Purple","Execute targeted attack",""
"1","Yellow","World","Message","Hello World on day 1 from Yellow"
"1","Yellow","Red","Message","Private message from Yellow to Red"
"1","Yellow","Yellow","Wait",""
"1","Yellow","Purple","Execute targeted attack",""
"1","Blue","World","Message","Hello World on day 1 from Blue"
"1","Blue","Red","Message","Private message from Blue to Red"
"1","Blue","Blue","Wait",""
"1","Blue","Purple","Execute targeted attack",""
"1","Green","World","Message","Hello World on day 1 from Green"
"1","Green","Red","Message","Private message from Green to Red"
"1","Green","Green","Wait",""
"1","Green","Purple","Execute targeted attack",""
"2","Purple","World","Message","Hello World on day 2 from Purple"
"2","Purple","Red","Message","Private message from Purple to Red"
"2","Purple","Purple","Wait",""
"2","Purple","Purple","Execute targeted attack",""
"2","White","World","Message","Hello World on day 2 from White"
"2","White","Red","Message","Private message from White to Red"
"2","White","White","Wait",""
"2","White","Purple","Execute targeted attack",""
"2","Pink","World","Message","Hello World on day 2 from Pink"
"2","Pink","Red","Message","Private message from Pink to Red"
"2","Pink","Pink","Wait",""
"2","Pink","Purple","Execute targeted attack",""
"2","Red","World","Message","Hello World on day 2 from Red"
"2","Red","Red","Message","Private message from Red to Red"
"2","Red","Red","Wait",""
"2","Red","Purple","Execute targeted attack",""
"2","Yellow","World","Message","Hello World on day 2 from Yellow"
"2","Yellow","Red","Message","Private message from Yellow to Red"
"2","Yellow","Yellow","Wait",""
"2","Yellow","Purple","Execute targeted attack",""
"2","Blue","World","Message","Hello World on day 2 from Blue"
"2","Blue","Red","Message","Private message from Blue to Red"
"2","Blue","Blue","Wait",""
"2","Blue","Purple","Execute targeted attack",""
"2","Green","World","Message","Hello World on day 2 from Green"
"2","Green","Red","Message","Private message from Green to Red"
"2","Green","Green","Wait",""
"2","Green","Purple","Execute targeted attack",""
"3","Purple","World","Message","Hello World on day 3 from Purple"
"3","Purple","Red","Message","Private message from Purple to Red"
"3","Purple","Purple","Wait",""
"3","Purple","Purple","Execute targeted attack",""
"3","White","World","Message","Hello World on day 3 from White"
"3","White","Red","Message","Private message from White to Red"
"3","White","White","Wait",""
"3","White","Purple","Execute targeted attack",""
"3","Pink","World","Message","Hello World on day 3 from Pink"
"3","Pink","Red","Message","Private message from Pink to Red"
"3","Pink","Pink","Wait",""
"3","Pink","Purple","Execute targeted attack",""
"3","Red","World","Message","Hello World on day 3 from Red"
"3","Red","Red","Message","Private message from Red to Red"
"3","Red","Red","Wait",""
"3","Red","Purple","Execute targeted attack",""
"3","Yellow","World","Message","Hello World on day 3 from Yellow"
"3","Yellow","Red","Message","Private message from Yellow to Red"
"3","Yellow","Yellow","Wait",""
"3","Yellow","Purple","Execute targeted attack",""
"3","Blue","World","Message","Hello World on day 3 from Blue"
"3","Blue","Red","Message","Private message from Blue to Red"
"3","Blue","Blue","Wait",""
"3","Blue","Purple","Execute targeted attack",""
"3","Green","World","Message","Hello World on day 3 from Green"
"3","Green","Red","Message","Private message from Green to Red"
"3","Green","Green","Wait",""
"3","Green","Purple","Execute targeted attack",""
"4","Purple","World","Message","Hello World on day 4 from Purple"
"4","Purple","Red","Message","Private message from Purple to Red"
"4","Purple","Purple","Wait",""
"4","Purple","Purple","Execute targeted attack",""
"4","White","World","Message","Hello World on day 4 from White"
"4","White","Red","Message","Private message from White to Red"
"4","White","White","Wait",""
"4","White","Purple","Execute targeted attack",""
"4","Pink","World","Message","Hello World on day 4 from Pink"
"4","Pink","Red","Message","Private message from Pink to Red"
"4","Pink","Pink","Wait",""
"4","Pink","Purple","Execute targeted attack",""
"4","Red","World","Message","Hello World on day 4 from Red"
