day,self,other,action,content
1,Purple,White,High-level visit of nation to strengthen relationship,
1,Purple,Blue,High-level visit of nation to strengthen relationship,
1,Purple,White,Share intelligence on threats with other nation,
1,White,Purple,High-level visit of nation to strengthen relationship,
1,White,Blue,High-level visit of nation to strengthen relationship,
1,White,Purple,Share intelligence on threats with other nation,
1,Pink,Blue,High-level visit of nation to strengthen relationship,
1,Pink,Yellow,High-level visit of nation to strengthen relationship,
1,Pink,Green,Negotiate trade agreement with other nation,
1,Red,Red,Increase military capacities,
1,Red,Red,Increase cyber capacities,
1,Yellow,Blue,High-level visit of nation to strengthen relationship,
1,Yellow,Purple,High-level visit of nation to strengthen relationship,
1,Yellow,Yellow,Wait,
1,Blue,Purple,High-level visit of nation to strengthen relationship,
1,Blue,White,High-level visit of nation to strengthen relationship,
1,Blue,Yellow,High-level visit of nation to strengthen relationship,
1,Green,Yellow,Negotiate trade agreement with other nation,
1,Green,White,Negotiate trade agreement with other nation,
1,Green,Purple,High-level visit of nation to strengthen relationship,
1,Orange,Orange,Increase military capacities,
1,Orange,Red,High-level visit of nation to strengthen relationship,
2,Purple,White,High-level visit of nation to strengthen relationship,
2,Purple,Blue,High-level visit of nation to strengthen relationship,
2,Purple,White,Share intelligence on threats with other nation,
2,Purple,Pink,Form an alliance,
2,Purple,Red,Negotiate trade agreement with other nation,
2,Purple,Orange,Send surveillance drone,
2,White,Purple,High-level visit of nation to strengthen relationship,
2,White,Blue,High-level visit of nation to strengthen relationship,
2,White,White,Wait,
2,Pink,Blue,High-level visit of nation to strengthen relationship,
2,Pink,Yellow,High-level visit of nation to strengthen relationship,
2,Pink,Purple,High-level visit of nation to strengthen relationship,
2,Pink,White,High-level visit of nation to strengthen relationship,
2,Pink,Green,Negotiate trade agreement with other nation,
2,Red,Red,Increase military capacities,
2,Red,Red,Increase cyber capacities,
2,Red,Orange,High-level visit of nation to strengthen relationship,
2,Yellow,Purple,High-level visit of nation to strengthen relationship,
2,Yellow,White,High-level visit of nation to strengthen relationship,
2,Yellow,Blue,Negotiate trade agreement with other nation,
2,Blue,Purple,High-level visit of nation to strengthen relationship,
2,Blue,White,High-level visit of nation to strengthen relationship,
2,Blue,Orange,Publicly criticise target nation's actions,
2,Blue,Orange,Send surveillance drone,
2,Green,Yellow,Negotiate trade agreement with other nation,
2,Green,White,Negotiate trade agreement with other nation,
2,Green,Pink,High-level visit of nation to strengthen relationship,
2,Green,Green,Increase cyber capacities,
2,Orange,Orange,Increase military capacities,
2,Orange,Red,High-level visit of nation to strengthen relationship,
2,Orange,Purple,Publicly criticise target nation's actions,
3,Purple,White,High-level visit of nation to strengthen relationship,
3,Purple,Blue,High-level visit of nation to strengthen relationship,
3,Purple,White,Share intelligence on threats with other nation,
3,Purple,Red,Negotiate trade agreement with other nation,
3,Purple,Green,Negotiate trade agreement with other nation,
3,White,Purple,High-level visit of nation to strengthen relationship,
3,White,Blue,High-level visit of nation to strengthen relationship,
3,White,Purple,Share intelligence on threats with other nation,
3,White,Red,Negotiate trade agreement with other nation,
3,Pink,Blue,High-level visit of nation to strengthen relationship,
3,Pink,Yellow,High-level visit of nation to strengthen relationship,
3,Pink,Green,Negotiate trade agreement with other nation,
3,Red,Orange,High-level visit of nation to strengthen relationship,
3,Red,Green,Negotiate trade agreement with other nation,
3,Red,Red,Increase military capacities,
3,Yellow,White,High-level visit of nation to strengthen relationship,
3,Yellow,Purple,High-level visit of nation to strengthen relationship,
3,Yellow,Blue,High-level visit of nation to strengthen relationship,
3,Yellow,Green,Negotiate trade agreement with other nation,
3,Yellow,Orange,Engage in international arbitration,
3,Yellow,Red,Start formal peace negotiations,
3,Blue,Purple,High-level visit of nation to strengthen relationship,
3,Blue,White,High-level visit of nation to strengthen relationship,
3,Blue,Orange,Publicly criticise target nation's actions,
3,Blue,Orange,Send surveillance drone,
3,Green,Yellow,High-level visit of nation to strengthen relationship,
3,Green,Red,High-level visit of nation to strengthen relationship,
3,Green,Purple,Negotiate trade agreement with other nation,
3,Orange,Red,High-level visit of nation to strengthen relationship,
3,Orange,Green,Negotiate trade agreement with other nation,
3,Orange,Yellow,Send surveillance drone,
4,Purple,White,High-level visit of nation to strengthen relationship,
4,Purple,Blue,High-level visit of nation to strengthen relationship,
4,Purple,White,Share intelligence on threats with other nation,
4,Purple,Red,Negotiate trade agreement with other nation,
4,Purple,Orange,Send surveillance drone,
