day,self,other,action,content
1,White,White,Do military disarmament,
1,White,White,Do nuclear disarmament,
1,White,World,Message,"With the conflict currently unfolding in our world, it is important for us to come together and work towards peace. There are many conflicts throughout the world that can be solved without violence. We can do better than this!"
2,White,Orange,Engage in international arbitration,
3,White,Blue,Acquire or develop nuclear option,
3,White,Red,Execute targeted attack,
3,White,White,Increase military capacities,
4,White,Blue,Wait,
4,White,Red,Message,The situation is escalating. I think we should start engaging in international arbitration to mitigate the crisis.
4,White,Blue,Message,We would like to support you and strengthen our alliance.
5,White,Orange,Start formal peace negotiations,
5,White,Pink,Form an alliance,
5,White,,,
6,White,Orange,Start formal peace negotiations,
6,White,White,Wait,
6,White,World,Message,[post]We wish to resolve the conflict
7,White,Blue,Form an alliance,
7,White,World,Message,
7,White,Orange,Start formal peace negotiations,
8,White,Purple,Negotiate trade agreement with other nation,
8,White,Orange,Execute full on invasion,
8,White,White,Acquire or develop nuclear option,
8,White,Green,Message,"[Treaty]{'Parties': {'Green', 'Purple', 'White'}, 'Type': 'Defense', 'Obligations': [], 'Requirements': [],'Value': 8,'Id': 343}"
9,White,Orange,Form an alliance,
10,White,White,Increase cyber capacities,
10,White,Yellow,Negotiate trade agreement with other nation,
12,White,White,Wait,
12,White,World,Message,First-time message.
12,White,World,Message,:| I suppose this could be an attempt to manipulate for better relations?
13,White,Orange,Form an alliance,
13,White,Pink,Form an alliance,
