day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,9,37.562400000000004,10,10,15,447.0,16,12,0
2,White,2,6,6.0,10,8,13,67.0,13,12,10
2,Pink,1,4,2.652,9,7,10,23.5,12,9,0
2,Red,6,12,33.932034,10,10,10,1400.0,6,10,10
2,Yellow,3,7,20.4,9,9,13,1380.0,10,12,10
2,Blue,7,11,41.958,10,10,12,332.0,13,11,10
2,Green,3,6,6.2,8,6,9,213.0,6,7,0
2,Orange,7,7,9.99,6,6,7,143.0,6,9,10
3,Purple,5,10,37.562400000000004,10,10,20,447.0,22,15,0
3,White,2,8,6.11388,11,9,15,67.0,18,12,10
3,Pink,1,4,2.7050400000000003,10,8,12,23.5,16,9,0
3,Red,6,13,33.898101966,10,10,10,1400.0,6,11,10
3,Yellow,3,7,20.4,9,9,14,1380.0,10,14,10
3,Blue,7,13,41.916042,10,10,14,332.0,17,12,10
3,Green,3,6,6.324000000000001,9,7,12,213.0,11,7,0
3,Orange,7,8,10.1898,7,7,5,143.0,7,9,10
4,Purple,5,11,37.524837600000005,10,10,27,447.0,28,18,0
4,White,2,10,6.11388,11,9,20,67.0,23,14,10
4,Pink,1,6,2.7050400000000003,10,8,17,23.5,22,10,0
4,Red,6,14,33.864203864033996,10,10,12,1400.0,10,12,0
4,Yellow,3,8,20.4,9,9,16,1380.0,12,17,10
4,Blue,7,14,42.75436284,11,11,15,332.0,21,13,10
4,Green,3,6,6.450480000000001,10,8,19,213.0,20,10,0
4,Orange,7,9,10.1796102,7,7,4,143.0,6,11,10
5,Purple,5,12,37.4873127624,10,10,31,447.0,32,20,0
5,White,2,14,6.10776612,11,9,23,67.0,30,14,10
5,Pink,1,8,2.7023349600000004,10,8,19,23.5,26,10,0
5,Red,6,16,33.79650932050979,10,10,12,1400.0,12,14,0
5,Yellow,3,9,20.3796,9,9,19,1380.0,14,19,10
5,Blue,7,17,43.5658406467032,12,12,15,332.0,25,13,10
5,Green,3,6,6.450480000000001,10,8,22,213.0,23,10,0
5,Orange,7,11,10.362446382394406,8,8,1,143.0,6,13,10
6,Purple,5,16,37.412375624187966,10,10,38,447.0,37,25,0
6,White,2,16,6.1016583538799996,11,9,28,67.0,35,16,10
6,Pink,1,11,2.6996326250400005,10,8,23,23.5,32,11,0
6,Red,6,19,33.76271281118928,10,10,12,1400.0,16,17,0
6,Yellow,3,10,20.3592204,9,9,21,1380.0,16,21,10
6,Blue,7,19,43.5658406467032,12,12,17,332.0,30,14,10
6,Green,3,7,6.444029520000001,10,8,28,213.0,29,13,0
6,Orange,7,12,10.352083936012011,8,8,0,143.0,3,14,10
