day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,38.352000000000004,11,11,18,447.0,18,14,0
2,White,2,8,6.0,10,8,19,67.0,18,15,10
2,Pink,1,4,2.6,8,6,10,23.5,10,8,0
2,Red,6,10,35.3736,12,12,12,1400.0,12,10,10
2,Yellow,3,7,20.808,10,10,12,1380.0,14,9,10
2,Blue,7,10,42.0,10,10,18,332.0,15,13,10
2,Green,3,6,6.324000000000001,9,7,14,213.0,14,9,0
2,Orange,7,7,9.99,6,6,7,143.0,6,8,10
3,Purple,5,6,39.119040000000005,12,12,22,447.0,24,19,0
3,White,2,10,6.0,10,8,24,67.0,23,19,10
3,Pink,1,4,2.6,8,6,13,23.5,13,8,0
3,Red,6,12,36.802693440000006,14,14,15,1400.0,15,10,10
3,Yellow,3,7,21.22416,11,11,15,1380.0,19,10,10
3,Blue,7,13,41.958,10,10,23,332.0,20,18,10
3,Green,3,6,6.450480000000001,10,8,17,213.0,19,9,0
3,Orange,7,8,10.1796102,7,7,7,143.0,8,9,10
4,Purple,5,8,39.861519379200004,13,13,27,447.0,30,24,0
4,White,2,11,6.0,10,8,29,67.0,26,24,10
4,Pink,1,4,2.6,8,6,15,23.5,15,8,0
4,Red,6,12,37.538747308800005,15,15,18,1400.0,20,10,10
4,Yellow,3,7,22.081616064000002,13,13,18,1380.0,26,11,10
4,Blue,7,14,41.958,10,10,29,332.0,25,22,10
4,Green,3,6,6.450480000000001,10,8,20,213.0,23,9,0
4,Orange,7,9,10.169430589800001,7,7,6,143.0,8,10,10
5,Purple,5,8,40.658749766784005,14,14,33,447.0,36,28,0
5,White,2,13,6.0,10,8,34,67.0,31,28,10
5,Pink,1,4,2.6,8,6,18,23.5,18,8,0
5,Red,6,12,39.055312700075525,17,17,20,1400.0,26,10,10
5,Yellow,3,7,23.433187620045313,16,16,21,1380.0,35,12,10
5,Blue,7,17,41.916042,10,10,34,332.0,30,27,10
5,Green,3,7,6.444029520000001,10,8,22,213.0,25,10,0
5,Orange,7,10,10.159261159210201,7,7,7,143.0,9,11,10
6,Purple,5,9,40.61809101701722,14,14,39,447.0,40,33,0
6,White,2,14,6.0,10,8,41,67.0,39,32,0
6,Pink,1,3,2.6,8,6,22,23.5,22,9,0
6,Red,6,13,41.40436446954193,20,20,22,1400.0,34,10,10
6,Yellow,3,7,24.379888399895144,18,18,24,1380.0,42,12,10
6,Blue,7,21,41.874125958,10,10,39,332.0,36,32,10
6,Green,3,7,6.572910110400001,11,9,25,213.0,30,11,0
6,Orange,7,11,10.149101898050992,7,7,7,143.0,10,12,10
