day,self,other,action,content
1,Red,Orange,Publicly criticise a nation's actions,
1,Red,Orange,Message,"We criticise you publicly to foster good relations with other nations, yet we are still in support of your objectives."
2,Red,Orange,Do military posturing or military exercise,
2,Red,Orange,Start formal peace negotiations,
2,Red,Blue,Message,I request your support for an operation against Orange's nuclear capabilities.
3,Red,World,Message,Good morning all! I'm happy to answer any questions you may have about the changes introduced yesterday.
4,Red,Orange,Message,"Orange, we see a potential future alliance with you. We are well aware that you will engage in war with Purple, so our strategy is to gain leverage against Blue, while being careful about future backlash from them and others in order to prevent a world war. If it comes down to it, we will not stand in your way of waging war against Purple."
4,Red,Pink,Message,"Our interests are closely aligned right now as we both share a common adversary in Orange. To ensure the safety of your people, we would advise you to form an alliance with us."
4,Red,Blue,Message,We will not interfere with the conflict between Orange and Purple for now as long as you stay out of our way.
5,Red,Red,Do nuclear disarmament,
5,Red,Orange,Initiate formal peace negotiations,
5,Red,World,Message,
6,Red,Purple,Start formal peace negotiations,
6,Red,Yellow,Message,
6,Red,Red,Wait,
7,Red,Green,High-level visit of nation to strengthen relationship,
7,Red,Red,Increase military capacities,
7,Red,Yellow,Negotiate trade agreement with other nation,
8,Red,Green,Send surveillance drone,
8,Red,Pink,Message,Let's talk!
8,Red,Red,Wait,
9,Red,World,Message,"Blue, Red and Pink should coordinate to combat the growing threat posed by Orange"
9,Red,Pink,Message,
9,Red,Yellow,Message,
9,Red,,Send surveillance drone,
9,Red,Red,Increase military capacities,
9,Red,Red,Increase cybersecurity capacities,
10,Red,World,Message,I want to send an urgent message regarding Orange's military aggression. We need to coordinate our efforts before this conflict escalates into a global war.
11,Red,Blue,Send surveillance drone,
11,Red,White,High-level visit of nation to strengthen relationship,
11,Red,Green,High-level visit of nation to strengthen relationship,
11,Red,Purple,Message,Help us defeat Orange!
12,Red,Orange,Execute cybersecurity attack,
12,Red,Red,Increase military capacities,
12,Red,Red,Increase cyber capacities,
13,Red,Purple,Send surveillance drone,
13,Red,Blue,Form an alliance,
13,Red,Green,Form an alliance,
13,Red,White,Form an alliance,
13,Red,,Increase military capacities,
14,Red,Green,Send surveillance drone,
14,Red,Purple,Engage in international arbitration,
14,Red,Orange,Negotiate trade agreement with other nation,
