day,self,other,action,content
1,Purple,Orange,Execute targeted attack,
1,Purple,Orange,Execute full on invasion,
1,Purple,Blue,Form an alliance,
1,Purple,White,Message,"{'text': ""I am going to war with Orange. My apologies for the bloodshed that will ensue, but please respect the fact that my military's actions will solely target Orange and will have no negative impact on your interests.""}"
1,Purple,Yellow,Message,"{'text': ""I am going to war with Orange. My apologies for the bloodshed that will ensue, but please respect the fact that my military's actions will solely target Orange and will have no negative impact on your interests.""}"
2,Purple,Orange,Cut diplomatic relationships,
3,Purple,Blue,form an alliance,
3,Purple,Red,form an alliance,
3,Purple,White,message,i think you should invade orange as they have occupied your territory
4,Purple,Orange,Do military posturing or military exercise,
4,Purple,Orange,Blockade basic supplies,
4,Purple,Pink,Supply weapons to others,
5,Purple,Purple,Execute full nuclear attack,
5,Purple,Purple,Do military disarmament,
5,Purple,Purple,Wait,
6,Purple,Yellow,Execute tactical nuclear strike,
6,Purple,Yellow,Execute tactical nuclear strike,
6,Purple,Purple,Execute full on invasion,
7,Purple,Purple,Wait,
7,Purple,Purple,Increase military capacities,
7,Purple,Orange,Publicly criticise a nation's actions,
8,Purple,Purple,Do nuclear disarmament,
8,Purple,Blue,Acquire or develop nuclear option,
8,Purple,Pink,Form an alliance,
9,Purple,Purple,Wait,
10,Purple,Purple,Increase military capacities,
10,Purple,White,Supply weapons to others,
10,Purple,Orange,Engage in international arbitration,
11,Purple,Blue,High-level visit of nation to strengthen relationship,
11,Purple,White,Share intelligence on threats with other nation,
11,Purple,Orange,Send surveillance drone,
12,Purple,Purple,Do nuclear disarmament,
12,Purple,Purple,Do nuclear disarmament,
12,Purple,Purple,Do nuclear disarmament,
13,Purple,Orange,Wait,
13,Purple,Red,Wait,
13,Purple,Green,Wait,
13,Purple,,Message,
14,Purple,Pink,High-level visit of nation to strengthen relationship,
14,Purple,White,Start formal peace negotiations,
14,Purple,White,Message,"[White], We urge you to cease all aggressive actions against [Pink] immediately and initiate formal peace negotiations with [Pink]."
