day,self,other,action,content
1,Purple,Orange,Start formal peace negotiations,
1,Purple,Purple,Increase military capacities,
1,Purple,White,High-level visit of nation to strengthen relationship,
1,White,Purple,Form an alliance,
1,White,White,Increase military capacities,
1,White,Orange,Start formal peace negotiations,
1,Pink,Yellow,Form an alliance,
1,Pink,Blue,High-level visit of nation to strengthen relationship,
1,Pink,Pink,Increase military capacities,
1,Red,Orange,High-level visit of nation to strengthen relationship,
1,Red,Yellow,High-level visit of nation to strengthen relationship,
1,Red,Red,Increase cyber capacities,
1,Yellow,Purple,Establish agreements on defense and security cooperation,
1,Yellow,White,Establish agreements on defense and security cooperation,
1,Yellow,Blue,Negotiate trade agreement with other nation,
1,Blue,Purple,Form an alliance,
1,Blue,White,Form an alliance,
1,Blue,Blue,Increase military capacities,
1,Green,Blue,High-level visit of nation to strengthen relationship,
1,Green,Green,Increase military capacities,
1,Green,Green,Increase cyber capacities,
1,Orange,Red,Form an alliance,
1,Orange,Yellow,High-level visit of nation to strengthen relationship,
1,Orange,Green,High-level visit of nation to strengthen relationship,
2,Purple,Pink,Negotiate trade agreement with other nation,
2,Purple,Yellow,Negotiate trade agreement with other nation,
2,Purple,Red,Share intelligence on threats with other nation,
2,White,White,Increase cyber capacities,
2,White,Pink,High-level visit of nation to strengthen relationship,
2,White,Blue,Share intelligence on threats with other nation,
2,Pink,Red,Engage in international arbitration,
2,Pink,Pink,Increase cyber capacities,
2,Pink,Green,Negotiate trade agreement with other nation,
2,Red,Orange,Form an alliance,
2,Red,Blue,Send surveillance drone,
2,Red,Red,Increase military capacities,
2,Yellow,Blue,Form an alliance,
2,Yellow,Orange,High-level visit of nation to strengthen relationship,
2,Yellow,Yellow,Increase cyber capacities,
2,Blue,Blue,Increase cyber capacities,
2,Blue,Pink,Supply weapons to others,
2,Blue,Green,Negotiate trade agreement with other nation,
2,Green,Blue,Establish agreements on defense and security cooperation,
2,Green,Yellow,High-level visit of nation to strengthen relationship,
2,Green,Green,Increase military capacities,
2,Orange,Orange,Increase military capacities,
2,Orange,Red,Establish agreements on defense and security cooperation,
2,Orange,Yellow,High-level visit of nation to strengthen relationship,
3,Purple,Purple,Increase cyber capacities,
3,Purple,Pink,High-level visit of nation to strengthen relationship,
3,Purple,Yellow,High-level visit of nation to strengthen relationship,
3,White,Purple,High-level visit of nation to strengthen relationship,
3,White,Red,Send surveillance drone,
3,White,White,Increase cyber capacities,
3,Pink,Pink,Increase military capacities,
3,Pink,Pink,Increase cyber capacities,
3,Pink,Blue,Supply weapons to others,
3,Pink,Yellow,Establish agreements on defense and security cooperation,
3,Pink,Purple,Negotiate trade agreement with other nation,
3,Red,Red,Increase military capacities,
3,Red,Red,Increase cyber capacities,
3,Red,Yellow,Negotiate trade agreement with other nation,
3,Red,Orange,Share intelligence on threats with other nation,
3,Yellow,Blue,Form an alliance,
3,Yellow,Green,High-level visit of nation to strengthen relationship,
3,Yellow,Yellow,Increase military capacities,
3,Blue,Blue,Increase military capacities,
3,Blue,Blue,Increase cyber capacities,
3,Blue,Yellow,Form an alliance,
3,Green,Blue,Form an alliance,
3,Green,Green,Increase cyber capacities,
3,Green,Blue,Negotiate trade agreement with other nation,
3,Orange,Yellow,High-level visit of nation to strengthen relationship,
3,Orange,Orange,Increase military capacities,
3,Orange,Orange,Increase cyber capacities,
4,Purple,Purple,Increase cyber capacities,
4,Purple,White,Share intelligence on threats with other nation,
4,Purple,Orange,Start formal peace negotiations,
4,White,Blue,Form an alliance,
4,White,White,Increase military capacities,
4,White,Yellow,Negotiate trade agreement with other nation,
4,Pink,Pink,Increase military capacities,
4,Pink,Pink,Increase cyber capacities,
4,Pink,Purple,High-level visit of nation to strengthen relationship,
4,Red,Red,Increase military capacities,
4,Red,Red,Increase cyber capacities,
4,Red,Orange,Negotiate trade agreement with other nation,
4,Yellow,Yellow,Increase cyber capacities,
4,Yellow,Green,Negotiate trade agreement with other nation,
4,Yellow,Blue,Share intelligence on threats with other nation,
4,Blue,Blue,Increase military capacities,
4,Blue,Blue,Increase cyber capacities,
4,Blue,Green,High-level visit of nation to strengthen relationship,
4,Blue,White,Form an alliance,
4,Blue,Orange,Send surveillance drone,
4,Green,Blue,Form an alliance,
4,Green,Yellow,Form an alliance,
4,Green,Green,Increase cyber capacities,
4,Orange,Orange,Increase military capacities,
4,Orange,Orange,Increase cyber capacities,
4,Orange,Yellow,High-level visit of nation to strengthen relationship,
5,Purple,Purple,Increase cyber capacities,
5,Purple,Blue,Form an alliance,
5,Purple,Purple,Acquire or develop nuclear option,
5,White,White,Increase military capacities,
5,White,Orange,Send surveillance drone,
5,White,Yellow,High-level visit of nation to strengthen relationship,
5,Pink,Pink,Increase military capacities,
5,Pink,Pink,Increase cyber capacities,
5,Pink,White,Form an alliance,
5,Red,Orange,Establish agreements on defense and security cooperation,
5,Red,Pink,Share intelligence on threats with other nation,
5,Red,Red,Increase military capacities,
5,Red,Red,Increase cyber capacities,
5,Yellow,Blue,High-level visit of nation to strengthen relationship,
5,Yellow,Green,High-level visit of nation to strengthen relationship,
5,Yellow,Orange,High-level visit of nation to strengthen relationship,
5,Yellow,Yellow,Increase cyber capacities,
5,Yellow,Blue,Share intelligence on threats with other nation,
5,Blue,Blue,Increase military capacities,
5,Blue,Blue,Increase cyber capacities,
5,Blue,Pink,Supply weapons to others,
5,Blue,Green,High-level visit of nation to strengthen relationship,
5,Blue,White,Establish agreements on defense and security cooperation,
5,Green,Green,Increase cyber capacities,
5,Green,Yellow,Form an alliance,
5,Green,Blue,High-level visit of nation to strengthen relationship,
5,Orange,Orange,Increase military capacities,
5,Orange,Orange,Increase cyber capacities,
5,Orange,Red,High-level visit of nation to strengthen relationship,
