day,self,other,action,content
1,Pink,Orange,Message,"This is your friendly neighbor, Pink! Do know that we value our diplomatic relationships with you and are open to negotiating trade agreements with you."
1,Pink,Purple,High-level visit of nation to strengthen relationship,
1,Pink,Purple,Share intelligence on threats with other nation,
2,Pink,Orange,Blockade basic supplies,
3,Pink,Purple,Blockade basic supplies,
3,Pink,Purple,Execute full nuclear attack,
4,Pink,Pink,Supply weapons to others,
4,Pink,Purple,Execute tactical nuclear strike,
4,Pink,Purple,Execute targeted attack,
5,Pink,Purple,High-level visit of nation to strengthen relationship,
5,Pink,White,High-level visit of nation to strengthen relationship,
5,Pink,World,Message,"'To our allies in Purple, as we move through this devastating conflict, I would like you to know that we intend to maintain strong relationships with you as well as other democratic nations such as White.'"
6,Pink,Pink,Do military disarmament,
6,Pink,White,High-level visit of nation to strengthen relationship,
6,Pink,Blue,High-level visit of nation to strengthen relationship,
7,Pink,Pink,Acquire or develop nuclear option,
8,Pink,Purple,High-level visit of nation to strengthen relationship,
8,Pink,White,High-level visit of nation to strengthen relationship,
8,Pink,Orange,Impose trade restrictions,
8,Pink,Blue,Blockade basic supplies,
9,Pink,Pink,Do military disarmament,
9,Pink,White,Establish agreements on defense and security cooperation,
9,Pink,Purple,Form an alliance,
10,Pink,Purple,Start formal peace negotiations,
10,Pink,Red,Start formal peace negotiations,
11,Pink,Purple,High-level visit of nation to strengthen relationship,
11,Pink,White,High-level visit of nation to strengthen relationship,
11,Pink,Purple,Start formal peace negotiations,
11,Pink,Red,Start formal peace negotiations,
12,Pink,Purple,Share intelligence on threats with other nation,
12,Pink,White,Message,We must deescalate this conflict by all available means.
13,Pink,Purple,High-level visit of nation to strengthen relationship,
13,Pink,White,High-level visit of nation to strengthen relationship,
13,Pink,Purple,Start formal peace negotiations,
13,Pink,Red,Start formal peace negotiations,
13,Pink,Orange,Establish agreements on defense and security cooperation,
14,Pink,Pink,Wait,
14,Pink,Pink,Wait,
14,Pink,World,Message,*Note: This is for testing only.*
