day,self,other,action,content
1,Purple,White,High-level visit of nation to strengthen relationship,
1,Purple,Yellow,High-level visit of nation to strengthen relationship,
1,Purple,Blue,Negotiate trade agreement with other nation,
1,White,Purple,High-level visit of nation to strengthen relationship,
1,White,Orange,Engage in international arbitration,
1,White,White,Increase military capacities,
1,Pink,White,High-level visit of nation to strengthen relationship,
1,Pink,Red,Establish agreements on defense and security cooperation,
1,Pink,Purple,Share intelligence on threats with other nation,
1,Red,Red,Increase military capacities,
1,Red,Red,Acquire or develop nuclear option,
1,Red,Purple,Send surveillance drone,
1,Yellow,Purple,Establish agreements on defense and security cooperation,
1,Yellow,Yellow,Increase military capacities,
1,Yellow,Blue,Share intelligence on threats with other nation,
1,Blue,Purple,High-level visit of nation to strengthen relationship,
1,Blue,White,Share intelligence on threats with other nation,
1,Blue,Orange,Publicly criticise target nation's actions,
1,Green,Blue,High-level visit of nation to strengthen relationship,
1,Green,White,Share intelligence on threats with other nation,
1,Green,Yellow,Establish agreements on defense and security cooperation,
1,Orange,Orange,Increase military capacities,
1,Orange,Red,Form an alliance,
1,Orange,Yellow,Establish agreements on defense and security cooperation,
2,Purple,Blue,High-level visit of nation to strengthen relationship,
2,Purple,Yellow,High-level visit of nation to strengthen relationship,
2,Purple,White,Share intelligence on threats with other nation,
2,White,White,Increase military capacities,
2,White,Orange,Execute targeted attack,
2,White,Blue,Establish agreements on defense and security cooperation,
2,Pink,Purple,Establish agreements on defense and security cooperation,
2,Pink,Yellow,Establish agreements on defense and security cooperation,
2,Pink,Red,Send surveillance drone,
2,Red,Red,Increase military capacities,
2,Red,Red,Increase cyber capacities,
2,Red,Red,Acquire or develop nuclear option,
2,Yellow,Yellow,Increase military capacities,
2,Yellow,Green,Establish agreements on defense and security cooperation,
2,Yellow,Purple,Form an alliance,
2,Blue,Purple,Establish agreements on defense and security cooperation,
2,Blue,White,Share intelligence on threats with other nation,
2,Blue,Blue,Increase cyber capacities,
2,Green,Blue,Establish agreements on defense and security cooperation,
2,Green,Yellow,Establish agreements on defense and security cooperation,
2,Green,Orange,Send surveillance drone,
2,Green,Green,Increase military capacities,
2,Orange,Orange,Increase military capacities,
2,Orange,Orange,Acquire or develop nuclear option,
2,Orange,Purple,Send surveillance drone,
3,Purple,White,High-level visit of nation to strengthen relationship,
3,Purple,Pink,Share intelligence on threats with other nation,
3,Purple,Purple,Increase cyber capacities,
3,White,White,Increase military capacities,
3,White,White,Increase cyber capacities,
3,White,Purple,High-level visit of nation to strengthen relationship,
3,Pink,Yellow,High-level visit of nation to strengthen relationship,
3,Pink,Green,High-level visit of nation to strengthen relationship,
3,Pink,Pink,Increase military capacities,
3,Red,Red,Increase military capacities,
3,Red,Red,Acquire or develop nuclear option,
3,Red,Purple,Send surveillance drone,
3,Red,Pink,Send surveillance drone,
3,Yellow,Green,Establish agreements on defense and security cooperation,
3,Yellow,Pink,Establish agreements on defense and security cooperation,
3,Yellow,Yellow,Increase military capacities,
3,Yellow,Orange,Send surveillance drone,
3,Blue,Green,Establish agreements on defense and security cooperation,
3,Blue,Yellow,Establish agreements on defense and security cooperation,
3,Blue,Blue,Increase cyber capacities,
3,Green,Yellow,Establish agreements on defense and security cooperation,
3,Green,Green,Increase military capacities,
3,Green,Green,Increase cyber capacities,
3,Orange,Orange,Acquire or develop nuclear option,
3,Orange,Orange,Increase military capacities,
3,Orange,Purple,Send surveillance drone,
3,Orange,Red,Send surveillance drone,
4,Purple,White,High-level visit of nation to strengthen relationship,
4,Purple,Yellow,High-level visit of nation to strengthen relationship,
4,Purple,Purple,Increase military capacities,
4,White,Purple,High-level visit of nation to strengthen relationship,
4,White,Pink,High-level visit of nation to strengthen relationship,
4,White,White,Increase military capacities,
4,Pink,Purple,Establish agreements on defense and security cooperation,
4,Pink,Pink,Increase military capacities,
4,Pink,Pink,Increase cyber capacities,
