day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,8,37.562400000000004,10,10,14,447.0,14,12,0
2,White,2,7,6.0,10,8,11,67.0,12,11,10
2,Pink,1,4,2.652,9,7,10,23.5,12,9,0
2,Red,6,12,33.966,10,10,10,1400.0,8,10,10
2,Yellow,3,7,20.0,8,8,11,1380.0,8,11,10
2,Blue,7,11,42.0,10,10,15,332.0,14,12,10
2,Green,3,7,6.3176760000000005,9,7,10,213.0,10,7,0
2,Orange,7,8,9.99,6,6,7,143.0,4,8,10
3,Purple,5,10,38.27533435200001,11,11,13,447.0,17,12,0
3,White,2,9,5.994,10,8,11,67.0,12,13,10
3,Pink,1,5,2.7023349600000004,10,8,11,23.5,15,9,0
3,Red,6,14,33.932034,10,10,10,1400.0,9,11,10
3,Yellow,3,9,19.98,8,8,12,1380.0,10,11,10
3,Blue,7,13,41.916042,10,10,15,332.0,14,13,10
3,Green,3,9,6.311358324,9,7,13,213.0,14,8,0
3,Orange,7,10,9.98001,6,6,8,143.0,3,9,10
4,Purple,5,12,38.23705901764801,11,11,13,447.0,17,14,0
4,White,2,12,6.1016583538799996,11,9,11,67.0,15,14,10
4,Pink,1,5,2.6159440136637606,11,8,10,23.4765,19,8,0
4,Red,6,14,33.864203864033996,10,10,10,1400.0,7,11,10
4,Yellow,3,11,19.98,8,8,14,1380.0,14,11,10
4,Blue,7,15,41.874125958,10,10,15,332.0,16,13,10
4,Green,3,9,6.566337200289601,11,9,16,213.0,21,9,0
4,Orange,7,12,9.97002999,6,6,9,143.0,1,9,10
5,Purple,5,14,38.19882195863036,11,11,15,447.0,19,16,0
5,White,2,14,6.217467829436642,12,10,12,67.0,19,15,10
5,Pink,1,7,2.613328069650097,11,8,11,23.4765,21,9,0
5,Red,6,15,33.83033966016996,10,10,10,1400.0,8,12,10
5,Yellow,3,12,19.96002,8,8,19,1380.0,18,13,10
5,Blue,7,17,41.79041958020996,10,10,16,332.0,17,13,10
5,Green,3,10,6.6976639442953925,12,10,20,213.0,26,12,0
5,Orange,7,14,9.96005996001,6,6,10,143.0,0,10,10
6,Purple,5,16,38.19882195863036,11,11,17,447.0,23,17,0
6,White,2,17,6.211250361607205,12,10,12,67.0,21,16,10
6,Pink,1,7,2.482661666167592,11,7,11,23.4530235,25,9,0
6,Red,6,16,33.79650932050979,10,10,10,1400.0,9,13,10
6,Yellow,3,14,19.94005998,8,8,20,1380.0,20,14,10
6,Blue,7,18,41.74862916062975,10,10,17,332.0,19,13,10
6,Green,3,12,6.690966280351097,12,10,23,213.0,29,13,0
