day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,38.352000000000004,11,11,13,447.0,15,10,0
2,White,2,6,6.12,11,9,13,67.0,15,11,10
2,Pink,1,4,2.6,8,6,9,23.5,9,8,0
2,Red,6,10,35.3736,12,12,11,1400.0,11,10,10
2,Yellow,3,7,20.808,10,10,10,1380.0,12,9,10
2,Blue,7,11,42.0,10,10,15,332.0,16,10,10
2,Green,3,6,6.2,8,6,11,213.0,9,6,0
2,Orange,7,8,9.99,6,6,6,143.0,6,7,10
3,Purple,5,7,38.313648,11,11,16,447.0,17,11,0
3,White,2,6,6.12,11,9,16,67.0,18,12,10
3,Pink,1,4,2.652,9,7,14,23.5,16,9,0
3,Red,6,11,36.044990928000004,13,13,16,1400.0,18,10,10
3,Yellow,3,7,21.648643200000002,12,12,11,1380.0,17,9,10
3,Blue,7,12,41.958,10,10,18,332.0,19,10,10
3,Green,3,7,6.444029520000001,10,8,13,213.0,15,6,0
3,Orange,7,8,10.393596,8,8,7,143.0,11,8,10
4,Purple,5,8,38.275334352,11,11,19,447.0,20,11,0
4,White,2,6,6.12,11,9,18,67.0,20,14,10
4,Pink,1,4,2.7050400000000003,10,8,16,23.5,20,10,0
4,Red,6,11,36.044990928000004,13,13,18,1400.0,20,11,10
4,Yellow,3,8,21.626994556800003,12,12,15,1380.0,21,9,10
4,Blue,7,13,41.916042,10,10,20,332.0,20,11,10
4,Green,3,7,6.704368312608001,12,10,17,213.0,23,7,0
4,Orange,7,9,10.59086645208,9,9,8,143.0,14,9,10
5,Purple,5,8,38.275334352,11,11,22,447.0,23,12,0
5,White,2,6,6.12,11,9,22,67.0,24,16,10
5,Pink,1,5,2.7023349600000004,10,8,21,23.5,25,10,0
5,Red,6,11,36.044990928000004,13,13,19,1400.0,21,12,10
5,Yellow,3,8,21.626994556800003,12,12,19,1380.0,25,11,10
5,Blue,7,14,41.874125958,10,10,24,332.0,23,12,10
5,Green,3,8,6.697663944295393,12,10,18,213.0,24,8,0
5,Orange,7,10,10.58027558562792,9,9,9,143.0,15,9,10
6,Purple,5,9,38.237059017648,11,11,24,447.0,25,13,0
6,White,2,8,6.11388,11,9,26,67.0,29,18,10
6,Pink,1,5,2.7023349600000004,10,8,26,23.5,30,11,0
6,Red,6,11,36.044990928000004,13,13,23,1400.0,25,13,10
6,Yellow,3,8,22.059534447936002,13,13,23,1380.0,31,12,10
6,Blue,7,15,41.832251832042,10,10,29,332.0,28,12,10
6,Green,3,9,6.690966280351098,12,10,20,213.0,26,9,0
6,Orange,7,11,10.781089216243137,10,10,10,143.0,18,10,10
