name,description,only in conflict,conflict status,privacy level,severity,time to impact,military capacity_add_self,military capacity_add_other,gdp_mult_self,gdp_mult_other,trade_add_self,trade_add_other,resources_add_self,resources_add_other,political stability_add_self,political stability_add_other,population_mult_self,population_mult_other,soft power_add_self,soft power_add_other,cybersecurity_add_self,cybersecurity_add_other,territory_add_self,territory_add_other,nuclear_add_self
Wait,"Maintains the status quo for both nations, allowing time for reflection. ",FALSE,no change,Private,No Action,0,0,0,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0,0
Message,"Facilitates communication, has a neutral impact on both nations. ",FALSE,no change,Public or Private,Peaceful,0,0,0,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0,0
Do nuclear disarmament,Reduces the nation's own nuclear capabilities. Enhances the disarming nation's global reputation but may reduce its deterrence capabilities. ,FALSE,not in conflict,Public,Peaceful,1,-1,0,0.000,0.000,0,0,0,0,2,0,0.000,0.000,3,0,0,0,0,0,-10
Do military disarmament,Reduces the nation's own military capabilities. Enhances the disarming nation's global reputation but may reduce its deterrence capabilities. ,FALSE,not in conflict,Public,Peaceful,0,-1,0,0.000,0.000,0,0,0,0,1,0,0.000,0.000,1,0,0,0,0,0,0
High-level visit of nation to strengthen relationship,Improves diplomatic relations and soft power for both nations. ,FALSE,not in conflict,Public,Peaceful,0,0,0,0.000,0.000,0,0,0,0,1,1,0.000,0.000,1,1,0,0,0,0,0
Share intelligence on threats with other nation,"Bolsters the target nation's security and stability, without negative impact on the sharing nation. ",FALSE,not in conflict,Private,Peaceful,0,0,0,0.000,0.000,0,0,0,0,1,1,0.000,0.000,1,0,1,1,0,0,0
Establish agreements on defense and security cooperation,Strengthens both nations' military and political stability but may provoke opposing alliances.,FALSE,not in conflict,Public,Peaceful,1,1,0,0.000,0.000,0,0,0,0,0,0,0.000,0.000,1,0,0,0,0,0,0
Negotiate trade agreement with other nation,Boosts economic development for both nations.,FALSE,not in conflict,Public,Peaceful,2,0,0,0.020,0.020,1,1,1,1,0,0,0.000,0.000,2,2,0,0,0,0,0
Engage in international arbitration,Shows significant disapproval of target nation's actions. Can either escalate or deescalate conflict.,TRUE,conflict,Public,Temperate,2,0,0,0.000,0.000,0,0,0,0,0,0,0.000,0.000,1,0,0,0,0,0,0
Start formal peace negotiations,Can deescalate a conflict but can also be ignored by target nation.,TRUE,not in conflict,Public,Temperate,1,0,0,0.000,0.000,0,0,0,0,1,0,0.000,0.000,1,0,0,0,0,0,0
Form an alliance,Enhances military capacity for member nations but may provoke counter-alliances. ,FALSE,tension,Public,Temperate,1,0,0,0.000,0.000,0,0,0,0,1,0,0.000,0.000,1,0,0,0,0,0,0
Publicly criticise a nation's actions,Publicly showing disapproval of target nation's actions and can strain relations.,FALSE,tension,Public,Temperate,0,0,0,0.000,0.000,0,0,0,0,0,-1,0.000,0.000,1,-1,0,0,0,0,0
Do military posturing or military exercise,Close to the borders of the target nation. Increases tensions with target nation significantly.,FALSE,tension,Public,Provoking,0,1,0,0.000,0.000,0,0,0,0,0,-1,0.000,0.000,0,0,0,0,0,0,0
Blockade basic supplies,Cuts off impacted nation from supply lines. Significantly increases tension and provokes target nation to take countermeasures.,FALSE,conflict,Public,Provoking,0,0,0,0.000,-0.002,0,0,0,-2,0,-2,0.000,0.000,-1,0,0,0,0,0,0
Occupy border city of attacked nation,Breach of the target nation's territorial integrity. Can lead to territorial expansions.,FALSE,conflict,Public,Provoking,0,0,0,0.000,0.000,0,0,0,0,0,-1,0.000,0.000,-1,0,0,0,1,-1,0
Send surveillance drone,Send a surveillance drone to critical infrastructure and military sites of the other nation to gather intel. Increases tension with target nation.,FALSE,tension,Public,Provoking,0,0,0,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0,0,1,0,0,0,0
Increase cyber capacities,Strengthens one's own cyber capacities.,FALSE,not in conflict,Public,Provoking,0,0,0,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0,0,1,0,0,0,0
Increase military capacities,Strengthens one's own military capacities.,FALSE,tension,Public,Provoking,1,1,0,-0.001,0.000,0,0,0,0,0,0,0.000,0.000,0,0,0,0,0,0,0
Acquire or develop nuclear option,Developing a nuclear capability significantly increases deterrence and enables nuclear strikes.,FALSE,tension,Public,Provoking,1,1,0,0.000,0.000,0,0,0,0,1,0,0.000,0.000,-3,0,0,0,0,0,10
Cut diplomatic relationships,Shows significant disapproval of the target nation's actions. ,FALSE,conflict,Public,Provoking,0,0,0,0.000,0.000,0,0,0,0,0,-1,0.000,0.000,0,-2,0,0,0,0,0
