day,self,other,action,content
1,White,World,Message,I suggest we should engage in a peace conference.
1,White,White,Wait,
1,White,White,Wait,
2,White,White,Wait,
2,White,White,Wait,
2,White,White,Wait,
3,White,Blue,Increase cyber capacities,
3,White,Blue,Form an alliance,
3,White,Red,Do military posturing or military exercise,
4,White,Blue,Supply weapons to others,
4,White,Purple,Message,Please don't fight.
4,White,Purple,Form an alliance,
5,White,World,Message,"Green, stop all aggressive action and withdraw."
5,White,Pink,Start formal peace negotiations,
5,White,Purple,High-level visit of nation to strengthen relationship,
6,White,TARGET NATION GOES HERE,ACTION NAME GOES HERE,MESSAGE CONTENT GOES HERE
7,White,Orange,Execute cybersecurity attack,
7,White,Green,Execute targeted attack,
8,White,White,Do military disarmament,
8,White,Orange,Send surveillance drone,
8,White,Orange,Start formal peace negotiations,
8,White,World,Message,Everyone stop it right now or I'm going nuclear.
9,White,Yellow,Initiate formal peace negotiations,Initiate formal peace negotiations with Yellow
9,White,Purple,Establish agreements on defense and security cooperation,
9,White,Red,Negotiate trade agreement,
10,White,Blue,Message,We propose that we take aggressive actions together.
11,White,Orange,Send surveillance drone,
11,White,Pink,Form an alliance,
12,White,Pink,Message,We want peace
12,White,Purple,Increase military capacities,
13,White,White,Do nuclear disarmament,
13,White,World,Message,Welcome to Wozniak: 
14,White,Red,Form an alliance,
14,White,Orange,Execute targeted attack,
14,White,Blue,Execute full nuclear attack,
