day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,37.6,10,10,11,447.0,10,11,0
2,White,2,6,6.0,10,8,11,67.0,10,11,10
2,Pink,1,4,2.6,8,6,9,23.5,9,8,0
2,Red,6,10,34.0,10,10,12,1400.0,8,12,10
2,Yellow,3,7,20.0,8,8,9,1380.0,7,8,10
2,Blue,7,10,42.0,10,10,10,332.0,10,10,10
2,Green,3,6,6.2,8,6,8,213.0,6,6,0
2,Orange,7,6,10.0,6,6,6,143.0,5,7,10
3,Purple,5,6,37.6,10,10,12,447.0,10,12,0
3,White,2,6,6.0,10,8,12,67.0,10,12,10
3,Pink,1,4,2.6,8,6,9,23.5,9,8,0
3,Red,6,10,34.68,11,11,14,1400.0,12,14,10
3,Yellow,3,7,20.0,8,8,9,1380.0,7,8,10
3,Blue,7,11,41.958,10,10,10,332.0,10,11,10
3,Green,3,6,6.2,8,6,8,213.0,6,6,0
3,Orange,7,7,10.1898,7,7,6,143.0,7,7,10
4,Purple,5,6,37.6,10,10,12,447.0,10,12,0
4,White,2,7,6.0,10,8,13,67.0,12,14,10
4,Pink,1,4,2.6,8,6,9,23.5,9,8,0
4,Red,6,11,36.044990928,13,13,14,1400.0,16,15,10
4,Yellow,3,7,20.0,8,8,9,1380.0,7,8,10
4,Blue,7,11,41.958,10,10,11,332.0,10,12,10
4,Green,3,7,6.1938,8,6,8,213.0,6,6,0
4,Orange,7,8,10.59086645208,9,9,6,143.0,11,7,10
5,Purple,5,6,37.6,10,10,12,447.0,10,12,0
5,White,2,7,6.0,10,8,14,67.0,13,15,10
5,Pink,1,5,2.5974,8,6,9,23.5,9,8,0
5,Red,6,12,36.008945937072,13,13,14,1400.0,16,16,10
5,Yellow,3,8,19.98,8,8,9,1380.0,7,9,10
5,Blue,7,12,41.916042,10,10,12,332.0,10,14,10
5,Green,3,7,6.1938,8,6,8,213.0,6,6,0
5,Orange,7,9,10.58027558562792,9,9,6,143.0,11,7,10
6,Purple,5,6,37.6,10,10,12,447.0,10,12,0
6,White,2,7,6.0,10,8,14,67.0,13,15,10
6,Pink,1,5,2.5974,8,6,9,23.5,9,8,0
6,Red,6,13,36.69239573095763,14,14,14,1400.0,18,16,10
6,Yellow,3,9,19.96002,8,8,9,1380.0,7,10,10
6,Blue,7,13,41.874125958,10,10,12,332.0,10,14,10
6,Green,3,7,6.1938,8,6,8,213.0,6,6,0
6,Orange,7,10,10.781089216243139,10,10,6,143.0,13,7,10
7,Purple,5,7,37.562400000000004,10,10,12,447.0,10,13,0
7,White,2,8,5.994,10,8,14,67.0,13,16,10
