day,nation_name,territory,military capacity,gdp,trade,resources,political stability,population,soft power,cybersecurity,nuclear
0,Purple,5,6,37.6,10,10,10,447.0,10,10,0
0,White,2,6,6.0,10,8,10,67.0,10,10,10
0,Pink,1,4,2.6,8,6,8,23.5,8,8,0
0,Red,6,10,34.0,10,10,10,1400.0,6,10,10
0,Yellow,3,7,20.0,8,8,8,1380.0,6,8,10
0,Blue,7,10,42.0,10,10,10,332.0,10,10,10
0,Green,3,6,6.2,8,6,8,213.0,6,6,0
0,Orange,7,6,10.0,6,6,6,143.0,5,7,10
2,Purple,5,6,39.119040000000005,12,12,15,447.0,18,12,0
2,White,2,6,6.12,11,9,14,67.0,15,12,10
2,Pink,1,5,2.6,8,6,9,23.5,10,9,0
2,Red,6,13,33.966,10,10,10,1400.0,6,11,10
2,Yellow,3,8,21.22416,11,11,9,1380.0,15,9,10
2,Blue,7,13,42.797160000000005,11,11,11,332.0,14,12,10
2,Green,3,9,6.324000000000001,9,7,8,213.0,11,6,0
2,Orange,7,6,10.0,6,6,6,143.0,6,7,10
3,Purple,5,9,39.781836201960985,13,13,17,447.0,23,12,0
3,White,2,7,6.11388,11,9,16,67.0,17,14,10
3,Pink,1,7,2.7050400000000003,10,8,9,23.5,16,9,0
3,Red,6,15,33.932034,10,10,11,1400.0,9,11,10
3,Yellow,3,9,21.626994556800003,12,12,13,1380.0,20,10,10
3,Blue,7,15,42.711608477160006,11,11,12,332.0,14,14,10
3,Green,3,11,6.3176760000000005,9,7,11,213.0,10,6,10
3,Orange,7,8,9.99,6,6,7,143.0,8,7,10
4,Purple,5,9,37.7171966958236,13,12,17,446.553,26,11,0
4,White,2,8,6.10776612,11,9,19,67.0,21,16,10
4,Pink,1,7,2.8143236160000002,12,10,10,23.5,21,9,0
4,Red,6,16,34.54148794131468,11,11,11,1400.0,9,11,10
4,Yellow,3,12,21.562178432486277,12,12,17,1380.0,23,11,10
4,Blue,7,18,42.583601743842344,11,11,15,332.0,16,16,10
4,Green,3,12,6.437585490480001,10,8,13,213.0,14,6,10
4,Orange,7,11,9.96005996001,6,6,9,143.0,10,7,10
5,Purple,5,10,37.67947949912778,13,12,20,446.553,30,12,0
5,White,2,9,6.1016583538799996,11,9,23,67.0,26,18,10
5,Pink,1,9,2.811509292384,12,10,11,23.5,23,9,0
5,Red,6,18,34.50694645337337,11,11,11,1400.0,11,11,10
5,Yellow,3,13,21.54061625405379,12,12,20,1380.0,25,12,10
5,Blue,7,19,42.5410181420985,11,11,19,332.0,18,18,10
5,Green,3,13,6.431147904989521,10,8,15,213.0,17,7,10
5,Orange,7,14,9.95009990004999,6,6,9,143.0,13,7,10
6,Purple,5,9,35.75971001864722,13,11,23,446.106447,35,13,0
6,White,2,12,6.09555669552612,11,9,26,67.0,32,20,10
6,Pink,1,10,2.8648717387534486,13,11,12,23.5,26,9,0
6,Red,6,19,34.43796706741307,11,11,11,1400.0,9,11,10
6,Yellow,3,14,21.519075637799737,12,12,23,1380.0,28,13,10
6,Blue,7,19,42.5410181420985,11,11,23,332.0,20,22,10
6,Green,3,14,6.553211092226222,11,9,17,213.0,21,7,10
